Order_ID,Date,Product_Name,Category,Quantity,Price,Total_Sales
1,2025-01-15,Bag,Accessories,4,102,408
2,2025-01-21,Shoes,Footwear,4,198,792
3,2025-03-16,Bag,Accessories,2,84,168
4,2025-01-24,Cap,Accessories,4,113,452
5,2025-01-02,Shoes,Footwear,2,62,124
6,2025-01-02,Jacket,Clothing,2,47,94
7,2025-03-17,Jacket,Clothing,1,170,170
8,2025-02-18,Jeans,Clothing,2,98,196
9,2025-04-02,Shoes,Footwear,3,179,537
10,2025-03-03,Jacket,Clothing,4,24,96
11,2025-02-20,Watch,Accessories,3,199,597
12,2025-01-03,Jacket,Clothing,3,73,219
13,2025-01-21,Cap,Accessories,3,144,432
14,2025-01-04,T-Shirt,Clothing,3,27,81
15,2025-04-24,T-Shirt,Clothing,4,23,92
16,2025-02-22,Jeans,Clothing,1,99,99
17,2025-04-21,Jeans,Clothing,4,101,404
18,2025-01-08,Jacket,Clothing,3,181,543
19,2025-02-05,Bag,Accessories,3,90,270
20,2025-01-02,Jeans,Clothing,4,141,564
21,2025-04-16,Watch,Accessories,2,63,126
22,2025-03-31,Jacket,Clothing,2,155,310
23,2025-04-10,Jacket,Clothing,2,199,398
24,2025-01-15,Watch,Accessories,3,57,171
25,2025-02-09,Watch,Accessories,3,199,597
26,2025-04-21,Cap,Accessories,4,91,364
27,2025-03-30,Cap,Accessories,4,163,652
28,2025-04-19,Jacket,Clothing,4,133,532
29,2025-02-14,T-Shirt,Clothing,1,24,24
30,2025-01-09,T-Shirt,Clothing,1,80,80
31,2025-03-29,T-Shirt,Clothing,4,145,580
32,2025-01-08,Bag,Accessories,3,90,270
33,2025-01-05,Shoes,Footwear,3,42,126
34,2025-01-28,Jeans,Clothing,3,50,150
35,2025-01-12,Bag,Accessories,1,81,81
36,2025-04-29,Jeans,Clothing,1,57,57
37,2025-04-09,Bag,Accessories,2,46,92
38,2025-03-06,Jacket,Clothing,4,44,176
39,2025-03-19,Shoes,Footwear,1,184,184
40,2025-03-31,Shoes,Footwear,1,14,14
41,2025-04-13,Bag,Accessories,3,151,453
42,2025-03-31,Shoes,Footwear,1,24,24
43,2025-03-04,Jeans,Clothing,4,188,752
44,2025-04-06,Bag,Accessories,1,61,61
45,2025-04-13,Jacket,Clothing,2,160,320
46,2025-01-29,Cap,Accessories,3,180,540
47,2025-03-12,Jacket,Clothing,1,169,169
48,2025-01-28,Shoes,Footwear,3,95,285
49,2025-03-03,Jeans,Clothing,2,54,108
50,2025-01-28,T-Shirt,Clothing,1,143,143
